teamA,teamB,week,season
"Sunderland","Aston Villa",15,1970-01-01T00:00:02.014Z
"Swansea City","Liverpool",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Stoke City",15,1970-01-01T00:00:02.014Z
"Aston Villa","Swansea City",15,1970-01-01T00:00:02.014Z
"Hull City","Chelsea",15,1970-01-01T00:00:02.014Z
"Liverpool","Manchester United",15,1970-01-01T00:00:02.014Z
"Manchester City","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Newcastle United","Arsenal",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Everton",15,1970-01-01T00:00:02.014Z
"Southampton","Burnley",15,1970-01-01T00:00:02.014Z
"Stoke City","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Leicester City",15,1970-01-01T00:00:02.014Z
"West Ham United","Sunderland",15,1970-01-01T00:00:02.014Z
"Arsenal","Liverpool",15,1970-01-01T00:00:02.014Z
"Burnley","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Chelsea","Stoke City",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Manchester City",15,1970-01-01T00:00:02.014Z
"Everton","Southampton",15,1970-01-01T00:00:02.014Z
"Leicester City","West Ham United",15,1970-01-01T00:00:02.014Z
"Manchester United","Aston Villa",15,1970-01-01T00:00:02.014Z
"Sunderland","Newcastle United",15,1970-01-01T00:00:02.014Z
"Swansea City","Hull City",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Burnley","Arsenal",15,1970-01-01T00:00:02.014Z
"Liverpool","Newcastle United",15,1970-01-01T00:00:02.014Z
"Manchester United","Manchester City",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","Chelsea",15,1970-01-01T00:00:02.014Z
"Southampton","Hull City",15,1970-01-01T00:00:02.014Z
"Sunderland","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Swansea City","Everton",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Aston Villa",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Leicester City",15,1970-01-01T00:00:02.014Z
"West Ham United","Stoke City",15,1970-01-01T00:00:02.014Z
"Arsenal","Sunderland",15,1970-01-01T00:00:02.014Z
"Aston Villa","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Chelsea","Manchester United",15,1970-01-01T00:00:02.014Z
"Crystal Palace","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Everton","Burnley",15,1970-01-01T00:00:02.014Z
"Hull City","Liverpool",15,1970-01-01T00:00:02.014Z
"Leicester City","Swansea City",15,1970-01-01T00:00:02.014Z
"Manchester City","West Ham United",15,1970-01-01T00:00:02.014Z
"Newcastle United","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Stoke City","Southampton",15,1970-01-01T00:00:02.014Z
"Arsenal","Chelsea",15,1970-01-01T00:00:02.014Z
"Burnley","Leicester City",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Hull City",15,1970-01-01T00:00:02.014Z
"Everton","Manchester United",15,1970-01-01T00:00:02.014Z
"Manchester City","Aston Villa",15,1970-01-01T00:00:02.014Z
"Newcastle United","Swansea City",15,1970-01-01T00:00:02.014Z
"Queens Park Ra…","West Ham United",15,1970-01-01T00:00:02.014Z
"Southampton","Tottenham Hotspur",15,1970-01-01T00:00:02.014Z
"Stoke City","Sunderland",15,1970-01-01T00:00:02.014Z
"West Bromwich …","Liverpool",15,1970-01-01T00:00:02.014Z
"Aston Villa","Everton",15,1970-01-01T00:00:02.014Z
"Chelsea","Crystal Palace",15,1970-01-01T00:00:02.014Z
"Hull City","Arsenal",15,1970-01-01T00:00:02.014Z
"Leicester City","Newcastle United",15,1970-01-01T00:00:02.014Z
"Liverpool","Queens Park Ra…",15,1970-01-01T00:00:02.014Z
"Manchester United","West Bromwich …",15,1970-01-01T00:00:02.014Z
"Sunderland","Southampton",15,1970-01-01T00:00:02.014Z
"Swansea City","Stoke City",15,1970-01-01T00:00:02.014Z
"Tottenham Hotspur","Manchester City",15,1970-01-01T00:00:02.014Z
"West Ham United","Burnley",15,1970-01-01T00:00:02.014Z
"Arsenal","Swansea City",15,1970-01-01T00:00:02.014Z
"Aston Villa","West Ham United",15,1970-01-01T00:00:02.014Z
"Chelsea","Liverpool",15,1970-01-01T00:00:02.014Z
"Crystal Palace","Manchester United",15,1970-01-01T00:00:02.014Z
